Temps(s)	sigV(MPa)	Defcapt	Defax	Defrad	Defvol	Deplctcapt(m)
1.205352E+0	8.711621E-2	-6.173932E-7	-2.061447E-7	1.374321E-7	6.871949E-8	-2.464634E-2
2.413359E+0	8.882668E-2	-6.184850E-7	6.870981E-7	1.272953E-10	6.873527E-7	-2.468992E-2
3.621367E+0	1.249518E-1	6.471663E-6	5.289384E-6	4.122955E-7	6.113975E-6	2.583488E-1
4.830352E+0	1.651764E-1	1.513530E-5	1.133420E-5	6.870139E-7	1.270823E-5	6.042010E-1
6.042266E+0	2.142856E-1	3.174411E-5	2.019548E-5	1.099218E-6	2.239391E-5	1.267225E+0
7.249297E+0	2.518386E-1	4.900921E-5	2.692718E-5	2.060824E-6	3.104883E-5	1.956448E+0
8.460234E+0	2.789589E-1	6.267411E-5	3.159823E-5	1.992135E-6	3.558250E-5	2.501950E+0
9.672148E+0	2.988485E-1	7.369622E-5	3.496419E-5	2.473028E-6	3.991025E-5	2.941953E+0
1.088406E+1	3.252409E-1	8.554130E-5	3.949786E-5	2.404340E-6	4.430654E-5	3.414809E+0
1.209598E+1	3.616275E-1	9.896907E-5	4.416891E-5	2.953885E-6	5.007668E-5	3.950845E+0
1.330691E+1	3.854117E-1	1.116096E-4	4.842782E-5	3.984251E-6	5.639633E-5	4.455455E+0
1.451883E+1	4.193457E-1	1.240025E-4	5.351086E-5	3.709424E-6	6.092971E-5	4.950182E+0
1.573074E+1	4.452716E-1	1.356462E-4	5.756364E-5	4.739790E-6	6.704322E-5	5.414996E+0
1.694168E+1	4.655217E-1	1.452357E-4	6.127312E-5	4.671138E-6	7.061539E-5	5.797810E+0
1.815359E+1	5.078102E-1	1.584056E-4	6.676849E-5	5.564163E-6	7.789682E-5	6.323550E+0
1.936453E+1	5.423803E-1	1.707215E-4	7.281332E-5	5.564163E-6	8.394164E-5	6.815202E+0
2.057645E+1	5.814811E-1	1.840572E-4	7.830863E-5	6.457116E-6	9.122286E-5	7.347563E+0
2.178738E+1	6.125808E-1	1.953171E-4	8.394139E-5	6.594530E-6	9.713045E-5	7.797059E+0
2.299832E+1	6.374747E-1	2.046443E-4	8.778810E-5	6.731907E-6	1.012519E-4	8.169401E+0
2.421023E+1	6.857923E-1	2.182942E-4	9.527546E-5	7.487482E-6	1.102504E-4	8.714303E+0
2.542215E+1	7.218396E-1	2.299558E-4	1.007022E-4	8.037100E-6	1.167764E-4	9.179836E+0
2.662918E+1	7.634071E-1	2.424522E-4	1.075715E-4	8.174514E-6	1.239205E-4	9.678693E+0
2.784109E+1	8.070314E-1	2.540879E-4	1.139599E-4	9.136228E-6	1.322323E-4	1.014319E+1
2.904910E+1	8.321233E-1	2.643427E-4	1.188369E-4	9.273569E-6	1.373840E-4	1.055256E+1
3.025613E+1	8.823282E-1	2.770542E-4	1.263929E-4	1.023521E-5	1.468633E-4	1.106001E+1
3.146316E+1	9.327733E-1	2.898112E-4	1.341551E-4	1.147164E-5	1.570983E-4	1.156926E+1
3.267020E+1	9.767934E-1	3.031161E-4	1.412304E-4	1.181516E-5	1.648607E-4	1.210040E+1
3.387723E+1	1.012077E+0	3.137177E-4	1.467945E-4	1.236474E-5	1.715240E-4	1.252361E+1
3.508328E+1	1.047962E+0	3.245754E-4	1.525645E-4	1.284556E-5	1.782556E-4	1.295705E+1
3.629129E+1	1.109631E+0	3.402303E-4	1.621813E-4	1.373855E-5	1.896584E-4	1.358200E+1
3.749832E+1	1.147962E+0	3.509163E-4	1.680889E-4	1.415068E-5	1.963902E-4	1.400858E+1
3.870535E+1	1.193975E+0	3.642853E-4	1.748894E-4	1.538719E-5	2.056638E-4	1.454227E+1
3.991336E+1	1.229464E+0	3.740833E-4	1.805908E-4	1.497502E-5	2.105408E-4	1.493340E+1
4.112137E+1	1.274198E+0	3.844226E-4	1.873225E-4	1.655493E-5	2.204324E-4	1.534615E+1
4.232937E+1	1.332892E+0	3.985464E-4	1.968708E-4	1.792881E-5	2.327284E-4	1.590997E+1
4.353641E+1	1.382644E+0	4.109839E-4	2.042895E-4	1.827229E-5	2.408341E-4	1.640648E+1
4.474344E+1	1.429011E+0	4.221781E-4	2.116395E-4	1.882184E-5	2.492832E-4	1.685335E+1
4.595047E+1	1.469963E+0	4.326422E-4	2.178904E-4	1.964610E-5	2.571826E-4	1.727108E+1
4.715555E+1	1.526480E+0	4.464199E-4	2.276446E-4	2.101991E-5	2.696844E-4	1.782108E+1
4.836355E+1	1.582417E+0	4.594780E-4	2.362997E-4	2.143208E-5	2.791639E-4	1.834236E+1
4.957059E+1	1.631632E+0	4.714005E-4	2.442680E-4	2.280593E-5	2.898798E-4	1.881831E+1
5.078348E+1	1.668761E+0	4.820953E-4	2.511372E-4	2.390502E-5	2.989472E-4	1.924524E+1
5.199539E+1	1.720005E+0	4.934126E-4	2.594489E-4	2.507276E-5	3.095944E-4	1.969703E+1
5.320535E+1	1.776331E+0	5.064581E-4	2.692718E-4	2.527883E-5	3.198295E-4	2.021781E+1
5.441727E+1	1.827440E+0	5.194561E-4	2.781330E-4	2.644657E-5	3.310262E-4	2.073669E+1
5.562918E+1	1.879871E+0	5.316463E-4	2.878873E-4	2.768304E-5	3.432533E-4	2.122332E+1
5.684109E+1	1.913211E+0	5.410511E-4	2.943444E-4	2.864479E-5	3.516339E-4	2.159876E+1
5.805203E+1	1.979411E+0	5.550914E-4	3.061593E-4	2.981257E-5	3.657845E-4	2.215925E+1
5.926395E+1	2.032302E+0	5.687530E-4	3.155014E-4	3.159855E-5	3.786985E-4	2.270462E+1
6.047488E+1	2.081807E+0	5.811853E-4	3.259425E-4	3.297239E-5	3.918873E-4	2.320092E+1
6.168680E+1	2.119734E+0	5.921545E-4	3.337734E-4	3.400276E-5	4.017789E-4	2.363881E+1
6.289871E+1	2.167677E+0	6.039919E-4	3.431841E-4	3.606345E-5	4.153110E-4	2.411136E+1
6.410965E+1	2.223728E+0	6.177645E-4	3.534878E-4	3.668169E-5	4.268512E-4	2.466116E+1
6.532156E+1	2.269932E+0	6.308446E-4	3.633794E-4	3.798685E-5	4.393531E-4	2.518332E+1
6.653348E+1	2.314567E+0	6.426807E-4	3.734771E-4	3.949803E-5	4.524732E-4	2.565581E+1
6.774441E+1	2.348261E+0	6.527676E-4	3.802775E-4	4.135266E-5	4.629828E-4	2.605848E+1
6.895535E+1	2.399681E+0	6.648327E-4	3.911995E-4	4.279523E-5	4.767900E-4	2.654012E+1
7.016629E+1	2.454820E+0	6.785392E-4	4.023963E-4	4.464990E-5	4.916961E-4	2.708729E+1
7.137820E+1	2.501639E+0	6.927083E-4	4.130435E-4	4.588637E-5	5.048162E-4	2.765291E+1
7.258914E+1	2.546846E+0	7.033764E-4	4.228665E-4	4.849672E-5	5.198599E-4	2.807879E+1
7.380008E+1	2.573712E+0	7.137794E-4	4.309034E-4	4.945840E-5	5.298202E-4	2.849407E+1
7.501199E+1	2.635219E+0	7.263438E-4	4.420314E-4	5.186254E-5	5.457565E-4	2.899565E+1
7.622391E+1	2.680044E+0	7.392528E-4	4.528848E-4	5.344252E-5	5.597698E-4	2.951097E+1
7.743582E+1	2.726015E+0	7.524653E-4	4.639441E-4	5.550325E-5	5.749506E-4	3.003842E+1
7.864676E+1	2.762325E+0	7.647635E-4	4.731487E-4	5.687703E-5	5.869028E-4	3.052936E+1
7.985379E+1	2.791459E+0	7.737811E-4	4.810483E-4	5.845698E-5	5.979623E-4	3.088934E+1
8.106570E+1	2.850160E+0	7.876226E-4	4.928632E-4	6.003689E-5	6.129370E-4	3.144189E+1
8.227762E+1	2.891317E+0	8.005512E-4	5.032357E-4	6.230368E-5	6.278430E-4	3.195800E+1
8.348465E+1	2.937748E+0	8.130841E-4	5.138830E-4	6.402105E-5	6.419251E-4	3.245832E+1
8.469656E+1	2.973788E+0	8.248171E-4	5.236372E-4	6.539486E-5	6.544269E-4	3.292670E+1
8.590848E+1	3.004018E+0	8.349080E-4	5.320862E-4	6.759301E-5	6.672723E-4	3.332953E+1
8.712039E+1	3.063801E+0	8.490162E-4	5.441072E-4	6.972239E-5	6.835520E-4	3.389273E+1
8.833133E+1	3.100767E+0	8.607852E-4	5.541362E-4	7.185181E-5	6.978398E-4	3.436254E+1
8.954324E+1	3.144681E+0	8.735461E-4	5.648521E-4	7.377520E-5	7.124025E-4	3.487196E+1
